Módulos,Etapa,Funcionalidad,,Acción,✅ Incluye,❌ No incluye,Adicionales,"Trazabilidad
(MR / VP / BOS)","Objetivo estratégico
que soporta","Resultado visible
para el usuario","Definición funcional
detallada","Cómo debe mostrarse
(UX/UI)","Criterio de aceptación
MVP / QA","Guardrails de alcance
y relato",Actividades Leonardo,Actividades Miguel,Estimacion Tiempos
1,Enrolamiento y onboarding,Login,Responsable,Inicio de sesión con mail y contraseña.,"Registro de usuario
Login
Recuperación contraseña
Autenticación biométrica o de huella (si dispositivo lo permite)
Onboarding informativo básico (pantallas introductorias)","Autenticación multifactor avanzada (OTP SMS externo).
Integración con proveedores externos de identidad (Google, Apple, Facebook).
Validación KYC financiera.
Firma electrónica avanzada.

KYC (Conoce a tu cliente):
Es un proceso formal que utilizan bancos y entidades financieras para:
Verificar la identidad real de una persona
Validar que no esté en listas de fraude o lavado de dinero
Cumplir normativas regulatorias","Evaluar desarrollo
Integración con proveedores externos de identidad (Google, Apple, Facebook).
","MR 5.4, 8.1 | VP 3.3, 6.1, P3 | BOS 6, 9",Habilitar acceso simple y seguro al MVP sin agregar complejidad fuera de alcance.,"El usuario puede entrar, recuperar acceso y comenzar el setup sin fricción innecesaria.","Incluye registro, login, recuperación por email y biometría si el dispositivo lo soporta. El objetivo es habilitar uso rápido del MVP, no resolver identidad financiera avanzada.","Flujo corto, lenguaje claro y pasos mínimos. La seguridad debe sentirse seria, pero sin pedir validaciones ajenas al MVP.","Usuario crea cuenta, inicia sesión, recupera contraseña por email y puede volver a entrar sin soporte manual.","No agregar MFA externo, login social, KYC, OTP SMS ni validaciones regulatorias no incluidas.","Biometria, Cambio de contraseña.
Recuperación de contraseña vía email.",Crear base de datos de categorias y endpoint,Semana 30-03 al 02-04 
,,,Leonardo Salas,Autenticación Biometría,,,,VP P3 | BOS 6,Acortar el reingreso recurrente.,Entrar rápido sin volver a digitar la clave cada vez.,Face ID / huella nativa opcional después del primer login exitoso.,Prompt simple post-login o en ajustes; siempre con fallback visible a contraseña.,"Puede activarse y desactivarse; si falla, el usuario entra con credenciales.",No reemplaza el login base ni agrega identidad externa.,,,
,,,,Creación de cuenta de usuario,,,,"VP 3.3, P3 | BOS 9 Onboarding",Permitir alta rápida para llegar al primer valor.,Crear cuenta sin pasos innecesarios y avanzar al onboarding.,"Formulario corto: nombre, RUT o correo, contraseña y aceptación mínima de términos.",1 pantalla o wizard corto; validaciones simples; no pedir datos financieros aún.,Cuenta creada y sesión iniciada en un solo flujo.,"No pedir KYC, empleo, renta ni datos patrimoniales en alta inicial.",,,
,,,Leonardo Salas,Cambio de contraseña.,,,,VP 6.1 | BOS 9 Mantenimiento,Sostener confianza y autonomía básica de la cuenta.,El usuario puede actualizar su acceso sin fricción operativa.,Cambiar contraseña desde perfil con validación de clave actual.,Opción visible en perfil; feedback claro de éxito/error.,Cambio efectivo y próxima sesión respeta nueva clave.,No mezclar con seguridad avanzada fuera del alcance V1.,,,
,,,Leonardo Salas,Recuperación de contraseña vía email.,,,,"VP 3.3, 6.1 | BOS 9 Mantenimiento",Evitar abandono por pérdida de acceso.,Recupera su cuenta por email y retoma el flujo.,Envío de enlace o código vía correo para restablecer contraseña.,Ruta “Olvidé mi contraseña” visible y breve.,Restablece clave desde email y puede volver a iniciar sesión.,No usar SMS ni validaciones externas costosas en V1.,,,
,,Onboarding,,Onboarding básico,,,,"MR 5.4, 8.1 | VP 3.3, 4.5, P3 | BOS 6, 9","Convertir el onboarding en diagnóstico rápido y puesta en marcha del presupuesto vivo, no en un tutorial largo.","En la primera sesión entiende para qué sirve la app y, si quiere saber cómo está hoy y no esperar un mes, puede cargar cartolas o últimos movimientos para obtener semáforo, primeras recomendaciones y presupuesto sugerido.","Onboarding breve que explique deuda + pagos + presupuesto vivo. Debe ofrecer desde el inicio la carga opcional de cartolas o últimos movimientos de uno o varios meses recientes para generar diagnóstico rápido. Si el usuario la usa, la app debe proponer un presupuesto inicial por categorías predefinidas, sugerir metas por categoría según los registros y habilitar semáforo, alertas y recomendaciones desde la primera sesión. Si la omite, el flujo puede continuar, pero debe explicarse que esas señales serán más útiles al cargar movimientos o registrar actividad.","Pantallas cortas, texto cotidiano y un CTA claro por paso. Debe existir salida simple a “Continuar” y una opción visible de “Importar cartolas o movimientos” con explicación breve del beneficio: saber hoy cómo está su salud financiera y activar semáforo, presupuesto sugerido y recomendaciones.","El usuario termina onboarding, entiende por qué conviene importar movimientos, y si carga cartolas puede ver en esa misma primera sesión una lectura inicial del mes, categorías sugeridas y primeras recomendaciones sin quedar bloqueado si decide omitir el paso.","Evitar tutorial extenso, relato de open banking disponible hoy, pedir que el usuario arme el presupuesto desde cero o prometer extracción perfecta del archivo.",,,
2,Perfil y configuración,Perfil de usuario,,"Ajustes de perfil (Nombre, correo, cambio de contraseña, aletas)","Edición nombre y correo
Cambio contraseña
Configuración de notificaciones
Configuración de alertas
Definición de metas

Alertas cuando:
Se supera umbral de gasto.
Se acerca fecha de pago.
Recordatorios configurables.
Semáforo visual por estado financiero.","
Notificaciones push inteligentes con IA predictiva.
Envío masivo vía SMS (si no se contrata servicio externo).",,"MR 7.1, 8.1, 8.2 | VP 3.2, 6.1, P2, P4, P5 | BOS 4, 9","Permitir que el usuario revise metas y alertas derivadas del presupuesto sugerido, sin convertir la app en un centro complejo de settings.","El usuario entiende qué alertas recibirá, sobre qué meta operan y puede dejar activadas las relevantes sin perderse en configuración avanzada.","Configuración de perfil y preferencias de aviso sobre una matriz default definida por producto. Por defecto la app deja activos los avisos mínimos para que funcione como se espera sin diseño manual del usuario: pagos próximos, alertas de presupuesto por categoría, recordatorio semanal para importar últimos movimientos y señales del semáforo. El usuario puede ajustar intensidad, frecuencia/cadencia y canal dentro de opciones acotadas.","Pantalla simple por bloques: pagos, presupuesto y actualización de datos. Debe mostrar qué viene activo por defecto, por qué sirve y qué puede ajustar el usuario sin confusión.","El usuario puede ver la configuración por defecto, mantenerla o ajustar canal/cadencia sin romper la lógica base del sistema.","No ofrecer motor libre de reglas, porcentajes ni flujos completamente custom por usuario; la lógica base la define producto.",,,
,,,,Activar / desact. Notificaciones y Alertas,,,,"VP P2, P5 | BOS 9 Uso",Activar ayuda oportuna sin ruido y sin pedir al usuario diseñar reglas.,"Recibe alertas útiles desde el inicio sobre vencimientos, gasto y presupuesto, aun si no entra a configurar nada.","Toggles por tipo de alerta y canal: pagos, recordatorios de actualización, alertas de presupuesto por categoría y señales del semáforo. La app debe venir operativa por defecto: por ejemplo popup/in-app al cruzar umbrales de presupuesto, push móvil para vencimientos próximos y recordatorio semanal para importar últimos movimientos, y correo para resúmenes o avisos críticos según producto. En presupuesto, el sistema usa una escalera fija de umbrales sobre la meta mensual definida para cada categoría (por defecto al menos 50%, 80% y 100% o más; cualquier nivel adicional lo define producto). El usuario decide si quiere bajar o subir intensidad, cadencia o canal dentro de opciones acotadas; no diseña un motor libre de porcentajes.","Configuración clara por bloques y canales aprobados: popups/in-app para acciones contextuales, push móvil para avisos oportunos y correo para recordatorios o resúmenes. Debe verse qué viene activo por defecto y permitir ajuste simple.",Las alertas base quedan operativas sin configuración manual y el usuario puede mantener defaults o ajustar canal/cadencia dentro de las opciones permitidas.,No abrir constructor libre de reglas/canales ni depender de SMS u otros canales no aprobados para que la lógica principal funcione.,,,
,,Perfil financiero,,Configurar perfil financiero básico con cálculo de capacidad estimada de pagos,,,,"MR 7.1 | VP 3.1, 3.3, P1, P4 | BOS 4, 9","Estimar la carga financiera base y construir un presupuesto sugerido que alimente semáforo, metas y capacidad estimada de pago.","El usuario ve una primera lectura simple de su margen del mes, capacidad estimada de pago y un presupuesto sugerido por categorías, sin tener que inventarlo desde cero.","Perfil financiero básico alimentado por datos fijos (por ejemplo renta, gastos relativamente estables y otros antecedentes mínimos) y, idealmente, por cartolas o últimos movimientos importados si quiere diagnóstico inmediato. La app debe explicar durante onboarding que, si el usuario quiere saber cómo está hoy y no después de un mes de uso, conviene subir movimientos recientes para que se armen desde el inicio el presupuesto sugerido, las metas por categoría, el semáforo, las alertas y las primeras recomendaciones. Si el usuario omite ese paso, la herramienta igual debe partir con supuestos básicos y valores guía del producto, pero dejando claro que la precisión mejora al importar registros.","Setup guiado y liviano, con CTA muy visible para importar cartolas/movimientos y explicación directa del beneficio: “esto acelera tu diagnóstico, presupuesto y recomendaciones desde hoy”.","Guarda el perfil financiero básico, deja operativo el cálculo de capacidad estimada de pago, el presupuesto sugerido por categoría, las metas editables, el semáforo y la lógica de alertas/umbrales, y comunica claramente el beneficio de importar cartolas para mejorar el diagnóstico inicial.","No presentarlo como scoring bancario, análisis patrimonial, asesoría certificada ni como un presupuesto 100% manual construido desde una hoja en blanco.",,,
,,,,Definir objetivo financiero (Metas),,,,"VP 3.1, 4.5, P4 | BOS 9 Salida/continuidad",Conectar orden financiero con una meta entendible.,El usuario declara una meta global que refuerza el sentido de progreso y complementa las metas mensuales por categoría del presupuesto.,"Metas globales simples: bajar deuda, ahorrar un monto, potenciar capacidad de ahorro, evitar atraso o cumplir presupuesto. Deben tener seguimiento matemático básico usando indicadores ya disponibles del MVP, por ejemplo deuda restante, monto ahorrado, capacidad de ahorro recuperada/disponible, pagos al día o grado de cumplimiento del presupuesto. Estas metas globales no reemplazan las metas por categoría que alimentan alertas y umbrales; las complementan y pueden ayudar a disparar recomendaciones proactivas, por ejemplo revisar o activar Bola de Nieve si la capacidad de ahorro queda muy por debajo del objetivo declarado.","Selección guiada con opciones predefinidas y edición mínima, mostrando en una línea cómo se medirá el avance y qué módulo puede ayudar a lograrla.","Meta creada y visible en home o perfil, con una señal básica de avance o cumplimiento según el indicador definido y sin confundirla con las metas por categoría.",No convertir metas en simulador patrimonial complejo ni confundir esta meta global con las metas mensuales por categoría del presupuesto.,,,
3,"Home (Seguimiento, visualización y motivación)",Dashboard,,Ver resumen del día/ semanal /Mensual,"Visualización consolidada de:

Ingresos
Gastos
Balance
Gráficos básicos (línea / barra)
Semáforo financiero
Visualización avance de deudas
Gamificación básica definida como:
Logros simples (ej: “3 días bajo presupuesto”)","

Proyecciones financieras a más de 12 meses.
Simulaciones complejas de escenarios.
Modelos predictivos con machine learning

Descarga de documentos 
Generación automática de reportes descargables.
",,"MR 7, 7.1, 8.1 | VP 3.2, 3.3, 6.1, P1, P2, P4, P5 | BOS 4, 5, 9",Dar una lectura del mes que permita decidir rápido qué mirar y qué corregir.,"Desde el home ve el estado general del mes, próximos riesgos y progreso visible.","Home resumido con balance, semáforo, avance de deuda, próximos vencimientos y señales básicas de desvío o fuga. Los gráficos apoyan la lectura, pero no reemplazan la acción principal.","Jerarquía visual clara: primero riesgo o acción sugerida, luego estado del presupuesto y finalmente gráficos de apoyo.","El home muestra al menos un próximo vencimiento o alerta, el estado del mes y el avance de deuda.","No convertir el home en tablero BI, centro de reportes ni vista cargada de indicadores de bajo valor.",,,
,,,,"Gráfico por categoría de gastos (Gasto hormiga, ahorro,etc)",,,,MR 7.1 | VP P4 | BOS 6 Elevar fugas,Hacer visible dónde se escapa la liquidez.,"Identifica categorías sensibles como gastos hormiga, ahorro y otros drenajes que concentran el deterioro del presupuesto.","Gráfico por categoría con foco en categorías drenantes, regla de gastos hormiga y una heurística simple de concentración/desbalance o mix presupuestario definida por producto (por ejemplo una regla tipo 50/30/20, 80/20 u otra equivalente adoptada por negocio). Debe ayudar a entender rápido dónde conviene empezar a actuar, no sólo por gasto hormiga sino también por categorías que están lesionando más el presupuesto.","Usar labels claros y pocos colores; destacar categorías que exigen acción y explicar brevemente si el problema viene por fugas pequeñas repetidas, por concentración excesiva o por desviación frente al mix objetivo.","El usuario puede identificar categoría dominante, drenajes relevantes y desvíos frente al mix esperado que justifican una recomendación o ajuste concreto.",No saturar con taxonomías complejas ni exceso de categorías en V1.,,,
,,,,Grafico de cumpliento de presupuestos,,,,VP P4 | BOS 9 Uso,Mostrar si el presupuesto real del mes va sano o desbordado.,Ve cumplimiento por categoría y estado general sobre metas sugeridas o ajustadas por la app.,"Comparativa entre presupuesto sugerido o ajustado y gasto real por categoría base. Debe mostrar el avance frente a la meta mensual por categoría y disparar umbrales visuales del sistema conforme se consume la meta, con escalera fija definida por producto (por defecto al menos 50%, 80% y 100% o más; cualquier nivel intermedio adicional lo controla producto y no el usuario).","Barras simples; rojo/amarillo/verde; mensaje corto de corrección. El usuario debe entender qué porcentaje de su meta lleva consumido, cuál es el siguiente umbral y por qué recibió la alerta.","Se observa estado por categoría, porcentaje consumido frente a la meta y al menos una alerta de desvío cuando se cruzan umbrales definidos por producto.","No convertirlo en analítica avanzada, editor complejo de umbrales ni forecasting largo.",,,
,,,,Gráfico de reducción de deudas,,,,VP P1 | BOS 4,Hacer tangible que salir del rojo es posible.,Ve disminución de deuda y cercanía a la fecha de salida.,Gráfico simple de reducción de deuda y saldo restante.,"Destacar saldo inicial, saldo actual y fecha/meta estimada + próxima deuda a saldar con capacidad de ahorro a liberar.",Visualización responde a cambios en pagos o prioridad.,No mostrar simulaciones complejas fuera del modelo MVP.,,,
,,Recomendaciones,,Recibir recomendaciones básicas en todas las pantallas ,,,,VP P5 | BOS 9 Uso,Convertir datos en guía situacional mínima.,Recibe recomendaciones breves y contextualizadas en cada pantalla.,"Reglas simples por pantalla según deuda, pagos, semáforo y presupuesto.","Cards cortas con verbo de acción: “paga”, “recorta”, “revisa”, “sube”.",Cada pantalla crítica muestra al menos una recomendación contextual útil.,No prometer IA mágica ni consejos genéricos desconectados del contexto.,,,
,,Gamificación,,"Gamificación básica (puntaje, Perfil/ranking financiero u otro)",,,,VP 3.1 emocional | BOS 9 Salida,Reforzar pequeñas victorias que sostengan uso sin desviar el producto hacia entretenimiento.,El usuario percibe avance o reconocimiento por conductas útiles dentro del MVP.,"Gamificación básica resuelta con puntaje, hitos, perfil o ranking personal simple, siempre ligado a conductas útiles del MVP como registrar, cumplir pagos o mantenerse dentro del presupuesto.","Elemento secundario y discreto. Debe acompañar el flujo funcional, no competir visualmente con deuda, pagos o presupuesto.",Existe al menos un mecanismo visible de logro o puntaje asociado a una acción útil del usuario.,"No agregar competencia social, rankings públicos ni una capa profunda de gamificación que reemplace el valor funcional.",,,
,,,,Visualizar logros del día,,,,VP P5 | BOS 9 Continuidad,Dar señal de progreso inmediato para sostener recurrencia.,Ve un logro del día o una micro-victoria.,Widget simple con logro reciente o tarea cumplida.,"Mensaje positivo, corto y concreto; no infantil.",El home refleja al menos una victoria visible cuando exista evento.,No exagerar tono emocional ni usar mecánicas complejas.,,,
4,Motor de deudas (Bola de Nieve),Registrar deudas ,,"Ingesta de datos manualmente (Monto, tasa, pago, fechas de vencimiento)","
Adjuntar documentos bancarios (ej: cartola ultimos movimientos).
Almacenamiento en base de datos.
Ordenamiento automático por prioridad (método bola de nieve).
Proyección básica de capacidad de ahorro a liberar.
Visualización plan de salida

La categorización será:
Regla simple por palabra clave
No modelo entrenado","Consolidación automática de deudas bancarias.
Renegociación automática.
Conexión directa con bancos para pago.

","Validación automática del documento (Extrae datos y los ingresa a la BD)
Clasificación automática con IA.","MR 3, 6, 7, 7.1, 9 | VP 3.2, 3.3, 5.1, P1, P3, P4 | BOS 4, 6, 9, 10",Construir el núcleo del MVP para salir del rojo con una carga de datos viable.,"El usuario registra su deuda, entiende prioridad y obtiene un plan básico de salida para recuperar capacidad de ahorro.","Alta manual de deuda con datos mínimos alineados al cálculo base: nombre o acreedor, monto bruto/principal cuando aplique, deuda actual, pago mínimo, interés o costo financiero cuando exista, número de cuotas pactadas y cuotas pendientes si aplica, y vencimiento. A partir de esa base el sistema aplica la lógica de bola de nieve para V1: orden principal por menor deuda actual, mantenimiento de pagos mínimos en las demás deudas y reasignación de la capacidad de ahorro recuperada a la siguiente deuda al cerrar una. El adjunto documental es apoyo, no requisito para comenzar.","Flujo guiado paso a paso, con explicación simple de por qué se pide cada dato y cómo impacta el plan. Debe ser evidente que el orden sugerido sigue una lógica entendible y orientada a recuperar capacidad de ahorro, no una caja negra.","Puede crear una deuda, guardarla y ver de inmediato su ubicación dentro del orden sugerido o del plan, usando los campos mínimos requeridos por la lógica de bola de nieve.","No asumir consolidación bancaria, renegociación, pago desde la app, ni reemplazar la lógica base de bola de nieve por un ranking opaco fuera del alcance aprobado.",,,
,,,,Adjuntar cartolas o últimos movimientos ,,,,"MR 5.4, 8.1, 9 | VP 3.3, 5.1, P3 | BOS 6 Crear diagnóstico inicial","Acortar el tiempo al primer valor, capturar deudas de forma automática y habilitar diagnóstico inmediato sin esperar un mes de uso manual.","Si sube cartolas o últimos movimientos, en los primeros minutos el sistema identifica deudas potenciales no registradas (por ejemplo, compras en cuotas y saldo de línea de crédito), y entrega una lectura inicial de salud financiera, categorías sugeridas y primeras recomendaciones.","Permitir adjuntar cartolas o últimos movimientos de uno o varios meses recientes en los formatos definidos por el proyecto. El foco de esta sección es identificar deudas que el usuario no haya ingresado manualmente y sugerirlas como registros potenciales para incorporarlas a la bola de nieve (por ejemplo, compras en cuotas, saldo de línea de crédito u otras obligaciones recurrentes). Adicionalmente, esta información alimenta el diagnóstico inicial, el presupuesto sugerido, el semáforo y las primeras recomendaciones apenas el usuario se enrola.

Debe presentarse como un paso altamente recomendado si el usuario quiere saber “cómo está hoy”. El sistema debe intentar leer automáticamente datos básicos cuando sea posible y, si la lectura no es suficiente, habilitar una instancia de revisión y corrección manual antes de guardar.","Entrada visible y bien explicada: qué archivo sirve, por qué conviene subirlo para saber “cómo está hoy”, qué datos intentará leer el sistema (incluida la detección automática de deudas) y qué ocurre si el archivo no puede procesarse por completo.","Flujo sin bloqueo: el usuario puede adjuntar el archivo, revisar lo detectado, corregir o completar manualmente (incluyendo confirmar/descartar deudas sugeridas), y el sistema refleja esa carga en el diagnóstico inicial, categorías sugeridas, deudas a incorporar (bola de nieve) y metas por categoría o presupuesto base.","No vender esta función como open finance completo, no exigir extracción perfecta y no obligar a subir archivos para usar la app.",,,
